timestamp_utc,identifier,event,level,hazard,onset,expires,areas,description,source
2026-01-19T12:35:16.781023Z,2.49.0.0.428.0.LV.260114232719.96361,Dzeltenais vēja brīdinājums,yellow,Wind,2026-01-13T21:00:00+03:00,2026-01-15T04:00:00+03:00,Baltijas jūras centrālā daļa,"14.-15.01.2026. naktī dienvidaustrumu, dienvidu vējš saglabāsies brāzmās līdz 15-18 m/s. Viļņu augstums 2.0-3.0 m.",https://bridinajumi.meteo.lv/
2026-01-19T12:35:16.781023Z,2.49.0.0.428.0.LV.260114232719.96362,Dzeltenais vēja brīdinājums,yellow,Wind,2026-01-14T10:00:00+03:00,2026-01-15T14:00:00+03:00,"Rīgas līča dienvidu daļa, Rīgas līča austrumu daļa, Rīgas līča rietumu daļa","14.-15.01.2026. naktī dienvidu, dienvidaustrumu vējš pastiprināsies brāzmās līdz 15-20 m/s. Viļņu augstums 1.5-2.5 m.",https://bridinajumi.meteo.lv/
2026-01-19T12:35:16.781023Z,2.49.0.0.428.0.LV.260115124320.96383,Dzeltenais vēja brīdinājums,yellow,Wind,2026-01-15T23:00:00+03:00,2026-01-17T05:00:00+03:00,Baltijas jūras centrālā daļa,"15.-16.01.2026. nakts vidū dienvidu, dienvidaustrumu vējš pastiprināsies brāzmās 15-19 m/s. Viļņu augstums 1.0-2.0 m.",https://bridinajumi.meteo.lv/
2026-01-19T12:35:16.781023Z,2.49.0.0.428.0.LV.260116073119.96421,Dzeltenais vēja brīdinājums,yellow,Wind,2026-01-15T23:00:00+03:00,2026-01-17T05:00:00+03:00,Baltijas jūras centrālā daļa,"16.01.2026. dienā dienvidu, dienvidaustrumu vējš saglabāsies brāzmās 15-19 m/s. Viļņu augstums 2.0-3.0 m.",https://bridinajumi.meteo.lv/
2026-01-19T12:35:16.781023Z,2.49.0.0.428.0.LV.260116142719.96422,Dzeltenais vēja brīdinājums,yellow,Wind,2026-01-15T23:00:00+03:00,2026-01-17T02:00:00+03:00,Baltijas jūras centrālā daļa,"16.01.2026. dienā dienvidu, dienvidaustrumu vējš saglabāsies brāzmās 15-19 m/s. Viļņu augstums 2.0-3.0 m.",https://bridinajumi.meteo.lv/
2026-01-19T12:35:16.781023Z,2.49.0.0.428.0.LV.260116155318.96423,Dzeltenais vēja brīdinājums,yellow,Wind,2026-01-16T09:00:00+03:00,2026-01-17T08:00:00+03:00,"Rīgas līča dienvidu daļa, Rīgas līča austrumu daļa, Rīgas līča rietumu daļa","16.01.2026. priekšpusdienā dienvidu, dienvidaustrumu vējš pastiprināsies brāzmās 15-19 m/s. Viļņu augstums 1.0-2.0 m.",https://bridinajumi.meteo.lv/
2026-01-19T12:35:16.781023Z,2.49.0.0.428.0.LV.260116195720.96441,Dzeltenais vēja brīdinājums,yellow,Wind,2026-01-16T20:00:00+03:00,2026-01-17T02:00:00+03:00,"Rīgas līča dienvidu daļa, Rīgas līča austrumu daļa, Rīgas līča rietumu daļa","16.01.2026. tuvākajās 1-3 stundās dienvidaustrumu, dienvidu vējš pastiprināsies brāzmās līdz 15 m/s. Viļņu augstums 1.0-2.0 m.",https://bridinajumi.meteo.lv/
2026-01-19T12:35:16.781023Z,2.49.0.0.428.0.LV.260117030719.96461,Dzeltenais vēja brīdinājums,yellow,Wind,2026-01-16T20:00:00+03:00,2026-01-17T07:00:00+03:00,"Rīgas līča dienvidu daļa, Rīgas līča austrumu daļa, Rīgas līča rietumu daļa","16.01.2026. tuvākajās 1-3 stundās dienvidaustrumu, dienvidu vējš pastiprināsies brāzmās līdz 15 m/s. Viļņu augstums 1.0-2.0 m.",https://bridinajumi.meteo.lv/
2026-01-19T12:35:16.781023Z,2.49.0.0.428.0.LV.260117064919.96464,Dzeltenais vēja brīdinājums,yellow,Wind,2026-01-15T23:00:00+03:00,2026-01-17T06:00:00+03:00,Baltijas jūras centrālā daļa,"17.01.2026. no rīta dienvidu, dienvidaustrumu vējš saglabāsies brāzmās līdz 15 m/s. Viļņu augstums 1.0-2.0 m.",https://bridinajumi.meteo.lv/
2026-01-19T12:35:16.781023Z,2.49.0.0.428.0.LV.260117064919.96465,Dzeltenais vēja brīdinājums,yellow,Wind,2026-01-16T20:00:00+03:00,2026-01-17T07:00:00+03:00,"Rīgas līča dienvidu daļa, Rīgas līča austrumu daļa, Rīgas līča rietumu daļa","17.01.2026. no rīta dienvidaustrumu, dienvidu vējš saglabāsies brāzmās līdz 15 m/s. Viļņu augstums 1.0-2.0 m.",https://bridinajumi.meteo.lv/
